ID_UBICACIO,DS_UBICACIO,ID_TIPUS_DEPENDENCIA,ID_EDIFICI,QL_PORTA,IND_METRES,ID_SN_BAIXA
C0/035.3,Arxiu Gestió Acadèmica Biocièn,16,C,C0/035.3  ,16.0,N
C0/019,Arxiu Gestió Acadèmica Cièncie,1,C,C0/019    ,26.0,N
A/1043,Arxiu Of.Coord.Institucional,1,A,A/1043    ,27.0,N
B7/050B,Ascensor,45,B,B7/050B   ,3.0,N
B9/002,Ascensor,45,B,B9/002    ,4.0,N
K/0005,Ascensor,45,K,K/0005    ,3.0,N
QA/5000,Ascensor Espina 5,45,Q,QA/5000   ,4.0,N
QA/0002,Ascensor cos central,45,Q,QA/0002   ,4.0,N
C5B/072-1,Ascensor de pta. -1 a pta. 0,45,C,C5B/072-1 ,6.0,N
M5/1A2,Ascensors Histologia-Plantes 0,45,M,M5/1A2    ,4.0,N
C2/077-1,Ascensors de pta.-1 a pta.4,45,C,C2/077-1  ,6.0,N
B11/201,Auditori,2,B,B11/201   ,434.0,N
IBB/019,Aula,4,IBB,IBB/019   ,50.0,N
Z1/126,Aula,4,C,Z1/126    ,1.0,S
K/0037,Aula 1,4,K,K/0037    ,100.0,N
S3/-107,Aula 10,4,S,S3/-107   ,122.0,N
B7B/012,Aula 102,4,B,B7B/012   ,93.0,N
B2/017,Aula 11,4,B,B2/017    ,152.0,N
GA/101,Aula 12,4,G,GA/101    ,67.0,N
S3/009,Aula 12,4,S,S3/009    ,79.0,N
V1/209,Aula 12,4,V,V1/209    ,113.0,N
B1/0034,Aula 13,4,B,B1/0034   ,124.0,N
J/122,Aula 13,4,J,J/122     ,120.0,N
S3/005,Aula 13,4,S,S3/005    ,122.0,N
M1/111,Aula 14,4,M,M1/111    ,32.0,N
J/125,Aula 15,4,J,J/125     ,60.0,N
GA/111,Aula 16,4,G,GA/111    ,76.0,N
GA/112,Aula 17 - Foniatria,5,G,GA/112    ,77.0,N
B1/-1028,Aula 2,4,B,B1/-1028  ,86.0,N
B2/-113,Aula 2,4,B,B2/-113   ,99.0,N
M1/005,Aula 2,4,M,M1/005    ,47.0,N
S/-108,Aula 2,4,S,S/-108    ,119.0,N
J/134,Aula 20,4,J,J/134     ,29.0,N
B7/014,Aula 202,4,B,B7/014    ,71.0,N
S2/-120,Aula 21,4,S,S2/-120   ,90.0,N
B7/030,Aula 210,4,B,B7/030    ,51.0,N
B3/0025,Aula 23,4,B,B3/0025   ,132.0,N
GA/203,Aula 24,4,G,GA/203    ,67.0,N
S2/022,Aula 24,4,S,S2/022    ,90.0,N
GA/204,Aula 25,4,G,GA/204    ,67.0,N
K/2051,Aula 25,4,K,K/2051    ,27.0,N
GA/219,Aula 29,4,G,GA/219    ,105.0,N
V1/132,Aula 3,4,V,V1/132    ,50.0,N
W/004,Aula 3,4,W,W/004     ,114.0,N
B9B/018,Aula 302,4,B,B9B/018   ,74.0,N
J/148,Aula 31,4,J,J/148     ,30.0,N
B5B/-133,Aula 32 Informàtica,7,B,B5B/-133  ,73.0,N
B1/-129,Aula 4,4,B,B1/-129   ,95.0,N
I1/103,Aula 4,4,I,I1/103    ,88.0,N
B9/018,Aula 403,4,B,B9/018    ,53.0,S
J/230,Aula 46,4,J,J/230     ,30.0,N
GA/412,Aula 47,4,G,GA/412    ,76.0,N
J/010,Aula 5,4,J,J/010     ,120.0,N
Z0/1020,Aula 5,4,SID,Z0/1020   ,34.0,S
B11/022,Aula 506,7,B,B11/022   ,61.0,N
B7B/009,Aula 602,4,B,B7B/009   ,126.0,N
B7B/103,Aula 606,4,B,B7B/103   ,123.0,N
Z0/1014,Aula 7,4,SID,Z0/1014   ,29.0,S
B2/-125A,Aula 8,4,B,B2/-125A  ,78.0,N
J/104,Aula 8,4,J,J/104     ,120.0,N
GS/012,Aula 81,4,G,GS/012    ,100.0,N
B1/0020,Aula 9,4,B,B1/0020   ,128.0,N
B1/027,Aula 9,4,B,B1/027    ,81.0,N
B2/013C,Aula 9B,4,B,B2/013C   ,115.0,N
G6/009,Aula Eduard Toldrà,5,G,G6/009    ,110.0,N
B5C/005,Aula Inf. núm. 2,7,B,B5C/005   ,81.0,S
B5B/018,Aula P-05,4,B,B5B/018   ,129.0,N
B5B/022,Aula P-06,4,B,B5B/022   ,157.0,N
B5B/-110,Aula P-07,4,B,B5B/-110  ,58.0,N
B5B/-112,Aula P-08,4,B,B5B/-112  ,92.0,N
I1/021,Aula Pc4,7,I,I1/021    ,117.0,N
Q1/1003,Aula Q1/1003 (dues portes),4,Q,Q1/1003   ,106.0,N
Q3/0013,Aula Q3/0013,4,Q,Q3/0013   ,50.0,N
Q4/1013,Aula Q4/1013 (dues portes),4,Q,Q4/1013   ,104.0,N
W/010,Aula d'Informàtica,11,W,W/010     ,43.0,S
W/121,Aula d'habilitats clíniques,4,W,W/121     ,48.0,N
J/152,Aula d'informàtica,7,J,J/152     ,57.0,N
I1/108,Aula d'informàtica  Mac 2,7,I,I1/108    ,81.0,N
I1/117,Aula d'informàtica  Pc-2,7,I,I1/117    ,81.0,N
W/031,Aula d'informàtica 2,7,W,W/031     ,43.0,N
G6/105,Aula d'informàtica 3,7,G,G6/105    ,103.0,N
Q1/0007,Aula d'informàtica A (2 portes,7,Q,Q1/0007   ,103.0,N
S/129,Aula d'informàtica B,7,S,S/129     ,39.0,N
S/136,Aula d'informàtica F,7,S,S/136     ,78.0,N
S/138,Aula d'informàtica G,7,S,S/138     ,39.0,N
S/123,Aula d'informàtica I,7,S,S/123     ,35.0,N
I1/030,Aula d'informàtica Pc 6,7,I,I1/030    ,43.0,N
K/0099,Aula d'interpretació 2,5,K,K/0099    ,41.0,N
GB/004,Aula desenvolupament 0-3 Anys,5,G,GB/004    ,41.0,N
C3B/010,Aula docent,4,C,C3B/010   ,141.0,N
M5/007,Aula docent,4,M,M5/007    ,125.0,N
M6/003,Aula docent,4,M,M6/003    ,54.0,N
Q3/0005,Aula docent,4,Q,Q3/0005   ,106.0,S
B9/0016,Aula docent 402,4,B,B9/0016   ,65.0,N
M3/318.2,Aula docent SID,7,M,M3/318.2  ,58.0,N
IBB/011.6,Cambra nº 2,30,IBB,IBB/011.6 ,7.0,N
C/CAMPUS,Campus UAB,14,C,C/CAMPUS  ,1.0,N
X/CAMPUS,Campus UAB,14,A,X/CAMPUS  ,1.0,N
A/0076.1,Cap Arxiu Gral. i Registre,16,A,A/0076.1  ,11.0,N
A/-120.6,Cap EiF,10,A,A/-120.6  ,15.0,N
A/0043,Cap de Gabinet Llengua Catalan,10,A,A/0043    ,12.0,N
A5/311.2,Cap de Personal Docent i Nòmin,10,A,A5/311.2  ,23.0,N
C7/041,Cap de Secretaria,16,C,C7/041    ,18.0,N
A/1072.2,Cap de l'OEGI,10,A,A/1072.2  ,20.0,N
A/1102,Cap de l'Of. Pr. Econ. i Compr,10,A,A/1102    ,20.0,N
X/CVC,Centre Visió per Computador,11,X,X/CVC     ,1.0,N
K/1026B,Climatitzador,36,K,K/1026B   ,2.0,N
R/116,Club Alpí,10,R,R/116     ,17.0,N
I/0036,Compactus,1,I,I/0036    ,330.0,N
A/COMUNICA,Comunicacións -Rectorat,34,A,A/COMUNICA,1.0,N
GA/315,Consell d'estudiants,32,G,GA/315    ,28.0,N
H/003,Consergeria,16,H,H/003     ,7.0,N
L/005,Consergeria,16,L,L/005     ,32.0,N
N/4006,Consergeria,16,N,N/4006    ,25.0,N
HCV/043,Consulta 7,33,HCV,HCV/043   ,13.0,N
V0/399,Consulta HCV,33,V,V0/399    ,18.0,N
I1/110A,Control Mac 1 i Mac 2,10,I,I1/110A   ,16.0,N
I1/119A,Control PC1 i PC2,10,I,I1/119A   ,13.0,N
I2/008,Control de continuÏtat 1,22,I,I2/008    ,7.0,N
I2/042,Control realització TV1,22,I,I2/042    ,34.0,N
A/1080,Coord. Of. Parc de Recerca,10,A,A/1080    ,17.0,N
GA/316,Coordinació Educació Social,10,G,GA/316    ,28.0,N
L/003,Cosigna,16,L,L/003     ,27.0,N
C3/435,Cuina,20,C,C3/435    ,45.0,N
E1/-113,Cuina,26,E,E1/-113   ,6.0,N
MRA/027.1,Cuina,12,MRA,MRA/027.1 ,9.0,N
TPV/005,Cuina,12,TPV,TPV/005   ,19.0,N
A1/312,Cuina Rectorat,26,A,A1/312    ,9.0,N
C3/127-1,Cuina i sala canvis,20,C,C3/127-1  ,7.0,N
R/132,Cultura en Viu,10,R,R/132     ,45.0,N
A4/314,Del. per l'OPQ,10,A,A4/314    ,27.0,N
HSP/009,Departament de Cirurgia,16,HSP,HSP/009   ,32.0,N
B11/014.4,Despatx,10,B,B11/014.4 ,18.0,N
B11/108,Despatx,10,B,B11/108   ,23.0,N
B11/112,Despatx,10,B,B11/112   ,14.0,N
B11/134,Despatx,10,B,B11/134   ,13.0,N
B11/150,Despatx,10,B,B11/150   ,13.0,N
B9/127,Aula-seminari facultat,5,B,B9/127    ,25.0,N
Q3/1007,Aules Q3/1007 (dues portes),4,Q,Q3/1007   ,129.0,N
QP/0003.2,Autoclau,20,Q,QP/0003.2 ,17.0,N
I0/125,Bar,12,I,I0/125    ,238.0,N
C0/016,Bibl.Ciències-sala tècnica,8,C,C0/016    ,124.0,N
C5/262,Biblioteca,12,C,C5/262    ,35.0,N
IBB/0031,Biblioteca,8,IBB,IBB/0031  ,34.0,S
M2/1031,Biblioteca,8,M,M2/1031   ,45.0,S
M5/138,Biblioteca - Seminari,41,M,M5/138    ,89.0,N
V0/241,Biblioteca U. Parasitologia,8,V,V0/241    ,27.0,N
V3/011,Bogaderia HCV,36,V,V3/011    ,26.0,N
H/114,Box d'Experimentació,15,H,H/114     ,13.0,N
H/127,Box d'Experimentació,15,H,H/127     ,14.0,N
D/006,CAS,10,D,D/006     ,60.0,N
B5L/041,Cabina,20,B,B5L/041   ,6.0,N
S/014,Cabina 1 Biblioteca,8,S,S/014     ,9.0,N
L/212,Cabina 10,32,L,L/212     ,4.0,N
B0/046,Cabina 2,41,B,B0/046    ,4.0,N
S/015,Cabina 2 Biblioteca,8,S,S/015     ,9.0,N
M0/1273,Cabina 3,8,M,M0/1273   ,9.0,N
B0/054,Cabina 6,41,B,B0/054    ,5.0,N
B0/058,Cabina 8,41,B,B0/058    ,5.0,N
L/210,Cabina 8,32,L,L/210     ,4.0,N
K/1077,Cabina d'interpretació,32,K,K/1077    ,3.0,N
K/1083,Cabina d'interpretació,32,K,K/1083    ,3.0,N
K/1085,Cabina d'interpretació,32,K,K/1085    ,4.0,N
K/2074,Cabina d'interpretació,32,K,K/2074    ,4.0,N
K/2081,Cabina d'interpretació,32,K,K/2081    ,4.0,N
I2/007A,Cabina de so,22,I,I2/007A   ,2.0,N
I1/104,Cabina projecció Aula Magna,36,I,I1/104    ,13.0,N
C2/439-1,Cablejat,34,C,C2/439-1  ,4.0,N
GTP/014,Cafeteria,16,GTP,GTP/014   ,193.0,N
C3/311,Cambra 37 C.,36,C,C3/311    ,4.0,N
C3/225,Cambra 4º,20,C,C3/225    ,8.0,N
V0/069INT,Cambra Freda,36,V,V0/069INT ,19.0,N
C2/422,Cambra cultiu i cambra freda,36,C,C2/422    ,19.0,N
IBB/012.2,Cambra de cultiu,20,IBB,IBB/012.2 ,7.0,N
M1/010,AULES DOCENTS,4,M,M1/010    ,47.0,N
I2/005.10,AVID-10,21,I,I2/005.10 ,12.0,N
I2/005.9,AVID-9,21,I,I2/005.9  ,12.0,N
M6/1E1,Accés a departament i unitats,27,M,M6/1E1    ,5.0,N
C5/063,Accés a l'aula d'informàtica,7,C,C5/063    ,17.0,N
C2/-101,Accés a la Facultat,43,C,C2/-101   ,9.0,N
M0/001,Accés a la Facultat,43,M,M0/001    ,7.0,N
C1/307,Accés a la planta,27,C,C1/307    ,20.0,N
M0/104,Accés a laboratoris de recerca,43,M,M0/104    ,11.0,N
SAF3/0P9,Accés al mag. material docènci,27,SF3,SAF3/055  ,3.0,N
H/525,Accés al pati d'instal.lacions,27,H,H/525     ,1.0,N
M3/401,Accés al terrat,27,M,M3/401    ,7.0,N
D/108,Accés als lavabos,43,D,D/108     ,4.0,N
IBB/014.2,Accés laboratori P-3,43,IBB,IBB/014.2 ,4.0,N
IBB/011.3,Alt voltatge,20,IBB,IBB/011.3 ,9.0,S
B1/-108B,Annex sala d'actes,16,B,B1/-108B  ,15.0,N
PM/000,Aparcament del Parc Mobil,14,PM,PM/000    ,1500.0,N
M3/0271,Aquari,30,M,M3/0271   ,17.0,N
B0/036,Area Treball Intern,16,B,B0/036    ,185.0,N
S2/020,Armari aula 24,24,S,S2/020    ,1.0,N
B5/010,Armari i mòdem,31,B,B5/010    ,3.0,N
N/2003,Armari instal·lacions,36,N,N/2003    ,2.0,N
N/3004,Armari instal·lacions,36,N,N/3004    ,2.0,N
A/1077.1,Arxiu,1,A,A/1077.1  ,15.0,N
B5C/007,Arxiu,1,B,B5C/007   ,12.0,S
K/0022,Arxiu,1,K,K/0022    ,5.0,N
B9/038,Despatx,10,B,B9/038    ,20.0,S
B9/1036,Despatx,10,B,B9/1036   ,15.0,N
B9/1056,Despatx,10,B,B9/1056   ,19.0,N
B9/1086,Despatx,10,B,B9/1086   ,19.0,N
B9/118,Despatx,10,B,B9/118    ,20.0,N
B9/135,Despatx,10,B,B9/135    ,23.0,N
B9/141,Despatx,10,B,B9/141    ,23.0,N
B9/207,Despatx,10,B,B9/207    ,23.0,N
B9/209,Despatx,10,B,B9/209    ,23.0,N
B9/213,Despatx,10,B,B9/213    ,23.0,N
C1/-142,Despatx,10,C,C1/-142   ,22.0,N
C1/-146,Despatx,10,C,C1/-146   ,14.0,N
C1/-154,Despatx,10,C,C1/-154   ,14.0,N
C1/-158,Despatx,10,C,C1/-158   ,14.0,N
C1/-160,Despatx,10,C,C1/-160   ,17.0,N
C1/-166,Despatx,10,C,C1/-166   ,28.0,N
C1/038,Despatx,10,C,C1/038    ,37.0,N
C1/044,Despatx,10,C,C1/044    ,18.0,N
C1/048,Despatx,10,C,C1/048    ,18.0,N
C1/052,Despatx,10,C,C1/052    ,18.0,N
C1/058,Despatx,16,C,C1/058    ,21.0,N
C1/122,Despatx,10,C,C1/122    ,20.0,N
C1/128,Despatx,10,C,C1/128    ,24.0,N
C1/214,Despatx,10,C,C1/214    ,18.0,N
C1/314,Despatx,10,C,C1/314    ,24.0,N
C1/323,Despatx,10,C,C1/323    ,9.0,N
C1/324,Despatx,10,C,C1/324    ,18.0,N
C1/328,Despatx,10,C,C1/328    ,17.0,N
C1/333,Despatx,10,C,C1/333    ,22.0,N
C2/-136,Despatx,10,C,C2/-136   ,16.0,N
C2/107,Despatx,10,C,C2/107    ,23.0,N
C2/113,Despatx,10,C,C2/113    ,25.0,N
C2/130,Despatx,10,C,C2/130    ,20.0,N
C2/233,Despatx,10,C,C2/233    ,21.0,N
C2/325,Despatx,10,C,C2/325    ,17.0,N
C2/343,Despatx,10,C,C2/343    ,21.0,N
C2/410,Despatx,10,C,C2/410    ,15.0,N
C3/-144,Despatx,10,C,C3/-144   ,15.0,N
C3/-152,Despatx,10,C,C3/-152   ,16.0,N
C3/041,Despatx,10,C,C3/041    ,23.0,N
C3/109-1,Despatx,10,C,C3/109-1  ,11.0,N
C3/114,Despatx,10,C,C3/114    ,23.0,N
C3/116,Despatx,10,C,C3/116    ,36.0,N
C3/138,Despatx,10,C,C3/138    ,20.0,N
C3/234,Despatx,10,C,C3/234    ,24.0,N
C3/417-1,Despatx,10,C,C3/417-1  ,14.0,N
C5/040,Despatx,16,C,C5/040    ,14.0,N
C5/1076,Despatx,10,C,C5/1076   ,19.0,N
C5/1096,Despatx,10,C,C5/1096   ,16.0,N
C5/1112,Despatx,10,C,C5/1112   ,19.0,N
C5/1118,Despatx,10,C,C5/1118   ,19.0,N
C5/427,Despatx,10,C,C5/427    ,26.0,N
C5B/024,Despatx,10,C,C5B/024   ,15.0,N
C7/020,Despatx,10,C,C7/020    ,12.0,N
C7/044,Despatx,10,C,C7/044    ,29.0,N
C7/115,Despatx,10,C,C7/115    ,16.0,N
C7/139,Despatx,10,C,C7/139    ,15.0,N
C7/239,Despatx,10,C,C7/239    ,15.0,N
C7/251-1,Despatx,10,C,C7/251-1  ,20.0,N
C7/333,Despatx,10,C,C7/333    ,16.0,N
C7/343,Despatx,10,C,C7/343    ,15.0,N
C7/418,Despatx,10,C,C7/418    ,14.0,N
C7B/-142,Despatx,10,C,C7B/-142  ,16.0,N
C7B/-162,Despatx,10,C,C7B/-162  ,17.0,N
C7B/034,Despatx,10,C,C7B/034   ,18.0,N
D/007,Despatx,10,D,D/007     ,29.0,N
D/017,Despatx,10,D,D/017     ,31.0,N
D/021,Despatx,10,D,D/021     ,32.0,N
D/215,Despatx,10,D,D/215     ,48.0,N
D/216,Despatx,10,D,D/216     ,40.0,N
HCV/030,Despatx,10,HCV,HCV/030   ,9.0,N
HCV/031,Despatx,10,HCV,HCV/031   ,13.0,N
IBB/-114,Despatx,10,IBB,IBB/-114  ,10.0,N
K/1004,Despatx,10,K,K/1004    ,15.0,N
K/2002,Despatx,10,K,K/2002    ,10.0,N
K/2011,Despatx,10,K,K/2011    ,10.0,N
K/2017,Despatx,10,K,K/2017    ,15.0,N
K/2018,Despatx,10,K,K/2018    ,15.0,N
M0/105D,Despatx,10,M,M0/105D   ,23.0,N
M0/111C,Despatx,10,M,M0/111C   ,20.0,N
M2/114,Despatx,10,M,M2/114    ,14.0,N
M2/115.1,Despatx,10,M,M2/115.1  ,25.0,N
M3/321B,Despatx,10,M,M3/321B   ,20.0,N
M3/323B,Despatx,10,M,M3/323B   ,20.0,N
M3/325C,Despatx,10,M,M3/325C   ,23.0,N
M3/332,Despatx,10,M,M3/332    ,16.0,N
M3/339,Despatx,10,M,M3/339    ,16.0,N
M4/116,Despatx,10,M,M4/116    ,27.0,N
M5/136,Despatx,10,M,M5/136    ,15.0,N
MRA/012,Despatx,10,MRA,MRA/012   ,16.0,N
N/1026,Despatx,10,N,N/1026    ,225.0,N
QC/1003,Despatx,10,Q,QC/1003   ,37.0,N
QC/1010,Despatx,10,Q,QC/1010   ,18.0,N
QC/1014,Despatx,10,Q,QC/1014   ,18.0,N
QC/1015,Despatx,10,Q,QC/1015   ,17.0,N
QC/1020,Despatx,10,Q,QC/1020   ,18.0,N
QC/1022,Despatx,10,Q,QC/1022   ,18.0,N
QC/1032,Despatx,10,Q,QC/1032   ,18.0,N
QC/1131,Despatx,10,Q,QC/1131   ,17.0,N
QC/1137,Despatx,10,Q,QC/1137   ,17.0,N
QC/2002,Despatx,10,Q,QC/2002   ,17.0,N
QC/2006,Despatx,10,Q,QC/2006   ,18.0,N
QC/2009,Despatx,10,Q,QC/2009   ,18.0,N
QC/2013,Despatx,10,Q,QC/2013   ,18.0,N
QC/2021,Despatx,10,Q,QC/2021   ,18.0,N
QC/2023,Despatx,10,Q,QC/2023   ,18.0,N
QC/2031,Despatx,10,Q,QC/2031   ,18.0,N
QC/2035,Despatx,10,Q,QC/2035   ,18.0,N
QC/2036,Despatx,10,Q,QC/2036   ,18.0,N
QC/2039,Despatx,10,Q,QC/2039   ,18.0,N
QC/2048,Despatx,10,Q,QC/2048   ,18.0,N
QC/3002,Despatx,10,Q,QC/3002   ,35.0,N
QC/3011,Despatx,10,Q,QC/3011   ,18.0,N
QC/3031,Despatx,10,Q,QC/3031   ,18.0,N
QC/3034,Despatx,10,Q,QC/3034   ,18.0,N
QC/3052,Despatx,10,Q,QC/3052   ,32.0,N
SAF1/107,Despatx,10,SF1,SAF1/107  ,9.0,N
TPV/102,Despatx,12,TPV,TPV/102   ,20.0,N
U/005,Despatx,10,U,U/005     ,28.0,S
U/313,Despatx,10,U,U/313     ,8.0,N
V5/007,Despatx,10,V,V5/007    ,24.0,N
Z2/3411,Despatx,10,C,Z2/3411   ,21.0,S
Z3/328,Despatx,10,C,Z3/328    ,21.0,N
V0/363,Despatx  Cirugia/Patologia,10,V,V0/363    ,62.0,N
V0/216,Despatx  U. Genètica,10,V,V0/216    ,28.0,N
M0/012,Despatx (cap de Biblioteca),10,M,M0/012    ,19.0,N
B1/1080,Despatx 14,10,B,B1/1080   ,19.0,N
B1/1120,Despatx 18,10,B,B1/1120   ,19.0,N
B11/172,Despatx,10,B,B11/172   ,29.0,N
B11/216,Despatx,10,B,B11/216   ,14.0,N
B11/232,Despatx,10,B,B11/232   ,21.0,N
B11/248,Despatx,10,B,B11/248   ,11.0,N
B11/290.7,Despatx,10,B,B11/290.7 ,10.0,N
B13/008,Despatx,10,B13,B13/008   ,19.0,N
B3BIS/-113,Despatx,10,B,B3BIS/-113,68.0,N
B5/-112,Despatx,10,B,B5/-112   ,18.0,N
B5/015,Despatx,10,B,B5/015    ,26.0,N
B5/020,Despatx,10,B,B5/020    ,19.0,N
B5/023,Despatx,10,B,B5/023    ,13.0,N
B5/030,Despatx,10,B,B5/030    ,19.0,N
B5/052,Despatx,10,B,B5/052    ,15.0,N
B5/057,Despatx,10,B,B5/057    ,17.0,N
B5/105,Despatx,10,B,B5/105    ,24.0,N
B5/137,Despatx,10,B,B5/137    ,23.0,N
B5/158.36,Despatx,10,B,B5/158.36 ,32.0,N
B5/158.40,Despatx,10,B,B5/158.40 ,30.0,N
B5B/013,Despatx,10,B,B5B/013   ,20.0,N
B5B/035,Despatx,10,B,B5B/035   ,19.0,N
B5B/081,Despatx,10,B,B5B/081   ,18.0,N
B7/1062,Despatx,10,B,B7/1062   ,19.0,N
B7/1068,Despatx,10,B,B7/1068   ,19.0,N
B7/1072,Despatx,10,B,B7/1072   ,19.0,N
B7/1094,Despatx,10,B,B7/1094   ,19.0,N
B7/1118,Despatx,10,B,B7/1118   ,19.0,N
B7/1122,Despatx,10,B,B7/1122   ,19.0,N
B7/130,Despatx,10,B,B7/130    ,15.0,N
B7/131,Despatx,10,B,B7/131    ,35.0,N
B7/159,Despatx,10,B,B7/159    ,27.0,N
B7/163,Despatx,10,B,B7/163    ,15.0,N
B7B/137,Despatx,10,B,B7B/137   ,15.0,N
B7B/141,Despatx,10,B,B7B/141   ,15.0,N
B7B/149,Despatx,10,B,B7B/149   ,34.0,N
B9/0024,Despatx,10,B,B9/0024   ,19.0,N
B9/0028,Despatx,10,B,B9/0028   ,19.0,N
B9/0052,Despatx,10,B,B9/0052   ,19.0,N
B9/0080,Despatx,10,B,B9/0080   ,19.0,N
B9/022,Despatx,10,B,B9/022    ,19.0,S
I0/105,Despatx Periodisme,10,I,I0/105    ,26.0,N
I0/111,Despatx Periodisme,10,I,I0/111    ,23.0,N
V0/350,Despatx Producció Animal,10,V,V0/350    ,17.0,N
G6/253,Despatx Psicologia Educació,10,G,G6/253    ,18.0,N
G6/263,Despatx Psicologia Educació,10,G,G6/263    ,18.0,N
C0/021,Despatx Secretaria Degà Ciènci,16,C,C0/021    ,22.0,N
B1/161,Despatx Sociologia,10,B,B1/161    ,32.0,N
S/257,Despatx Telecom. i Eng. Sist.,10,S,S/257     ,19.0,N
V0/126,Despatx U. Biologia C.,10,V,V0/126    ,21.0,N
V0/189,Despatx U. Bioquímica,10,V,V0/189    ,28.0,N
V0/353,Despatx U. Cirurgia,10,V,V0/353    ,17.0,N
V0/220,Despatx U. Genètica,10,V,V0/220    ,16.0,N
V0/222,Despatx U. Genètica,10,V,V0/222    ,16.0,N
V0/279,Despatx U. Microbiologia,10,V,V0/279    ,26.0,N
V0/329,Despatx U. Patologia Gral.,10,V,V0/329    ,21.0,N
V0/230,Despatx U. Tecnol. Aliments,10,V,V0/230    ,25.0,N
SAF3/-119,Despatx Uniesport,10,SF3,SAF3/-119 ,24.0,N
V0/113A,Despatx Unitat Farmacologia,10,V,V0/113A   ,15.0,N
A/1111,Despatx Vr. Profes. i PAS,10,A,A/1111    ,35.0,N
A/1060,Despatx cap Economia i Fin.,10,A,A/1060    ,44.0,N
VU/315,Despatx cap Edificació i Mant.,11,VU,VU/315    ,19.0,S
V0/010,Despatx cap Gestió Acadèmica,10,V,V0/010    ,15.0,N
SAF3/-109,Despatx cap Instal. tècniques,10,SF3,SAF3/-109 ,17.0,N
A/0022,Despatx cap Producció SPUAB,10,A,A/0022    ,12.0,N
V0/124,Despatx cap U. Biologia An.,10,V,V0/124    ,27.0,N
V0/361,Despatx cap U. Cirurgia,10,V,V0/361    ,25.0,N
SAF3/-118,Despatx cap d'Administració,10,SF3,SAF3/-118 ,24.0,N
C1/-184,Despatx cap de Consergeria,16,C,C1/-184   ,8.0,N
VU/335,Despatx cap de Seguretat,11,VU,VU/335    ,22.0,S
VU/320,Despatx cap Àrea Arq. I Urb.,11,VU,VU/320    ,39.0,S
I2/103A,Despatx d'investigació,10,I,I2/103A   ,11.0,N
C5/430,Despatx d'investigador/a,10,C,C5/430    ,14.0,N
C5/432,Despatx d'investigador/a,10,C,C5/432    ,21.0,N
S/125,Despatx d'operadors inform.,16,S,S/125     ,11.0,N
EST/019,Despatx de Direcció,10,EST,EST/019   ,19.0,N
F/006,Despatx de Direcció,10,F,F/006     ,14.0,N
S/259,Despatx de Matemàtiques,10,S,S/259     ,19.0,N
E1/001-1,Despatx de documentalista CDE,10,E,E1/001-1  ,11.0,N
A1/1224,Despatx de reunions,10,A,A1/1224   ,12.0,S
R/113,Despatx del SAFOR,10,R,R/113     ,17.0,N
I0/214,Despatx del cap,10,I,I0/214    ,23.0,N
I0/222,Despatx del cap,10,I,I0/222    ,25.0,N
SAF3/-120,Despatx del director,10,SF3,SAF3/-120 ,25.0,N
K/0013,Despatx del gestor acadèmic,10,K,K/0013    ,15.0,N
G5/032,Despatx del gestor econòmic,16,G,G5/032    ,21.0,N
A1/304.1,Despatx del rector,10,A,A1/304.1  ,92.0,N
MRA/118,Despatx desarmament,10,MRA,MRA/118   ,16.0,N
S/114,Despatx direcció Empresarials,10,S,S/114     ,37.0,N
I0/205E,Despatx director CAP,10,I,I0/205E   ,24.0,N
C7/206,Despatx laborant,10,C,C7/206    ,15.0,N
Z7/432,Despatx laborant,10,C,Z7/432    ,17.0,S
I0/230C,Despatx porter major,10,I,I0/230C   ,11.0,N
S/246,Despatx processament imatges,10,S,S/246     ,19.0,N
B1/112,Despatx professorat,10,B,B1/112    ,25.0,N
B2/-138,Despatx professorat,10,B,B2/-138   ,15.0,N
B2/038,Despatx professorat,10,B,B2/038    ,23.0,N
B2/042,Despatx professorat,10,B,B2/042    ,17.0,N
B2/052,Despatx professorat,10,B,B2/052    ,17.0,N
B2/062,Despatx professorat,10,B,B2/062    ,20.0,N
B2/117,Despatx professorat,10,B,B2/117    ,27.0,N
B2/132,Despatx professorat,10,B,B2/132    ,45.0,N
B2/140,Despatx professorat,10,B,B2/140    ,19.0,N
B2/146,Despatx professorat,10,B,B2/146    ,19.0,N
B2/164,Despatx professorat,10,B,B2/164    ,23.0,N
B2/176,Despatx professorat,10,B,B2/176    ,19.0,N
B2/184,Despatx professorat,10,B,B2/184    ,19.0,N
B2/190,Despatx professorat,10,B,B2/190    ,19.0,N
B3/036,Despatx professorat,10,B,B3/036    ,22.0,N
B3/040,Despatx professorat,10,B,B3/040    ,20.0,N
B3/044,Despatx professorat,10,B,B3/044    ,24.0,N
B3/062,Despatx professorat,10,B,B3/062    ,17.0,N
B3/070,Despatx professorat,10,B,B3/070    ,15.0,N
B3/108,Despatx professorat,10,B,B3/108    ,19.0,N
B3/1104,Despatx professorat,10,B,B3/1104   ,20.0,N
B3/1110,Despatx professorat,10,B,B3/1110   ,22.0,N
B3/1116,Despatx professorat,10,B,B3/1116   ,22.0,N
B3/1132,Despatx professorat,10,B,B3/1132   ,16.0,N
B3/120,Despatx professorat,10,B,B3/120    ,24.0,N
B3/154,Despatx professorat,10,B,B3/154    ,22.0,N
B3/160,Despatx professorat,10,B,B3/160    ,24.0,N
